text,y_true,y_pred,p_neg,p_neu,p_pos
"I’ve been using the Echo Dot (5th Gen) for a while now, and I’m genuinely impressed with how much power this small device packs. The sound quality is excellent — clear vocals with surprisingly deep bass for its size. It easily fills my room with music and works great for podcasts or audiobooks too.Alexa is faster and more responsive than before. Whether I’m setting reminders, checking the weather, or controlling my smart lights and plugs, it responds instantly. The microphone sensitivity is also very good — it can hear me even when music is playing.The design is sleek and modern, blending perfectly with my desk setup. I also love the LED display on top that shows the time and volume level. It doubles nicely as a small bedside clock.Overall, the Echo Dot (5th Gen) feels like a solid upgrade over the older versions. Great sound, smart features, and reliable performance — totally worth the price!",2,2,0.21542224,0.12463777,0.65994006
Alexa not workingI want to return itTrying for 2 day's,2,2,0.27411306,0.35394096,0.37194604
"It is a fantastic product and is very easy to operate, thanks to the alexa app because it just worked very smoothly and there were no issues or lags with the app. I bought it in white colour and it just looked fantastic. The voice recognition was also very smooth and quick. I overall liked the product and it is worth considering for the price point.",2,2,0.13987982,0.13202083,0.72809935
"Waooo!! Very good,  Volume require slightly up.",2,2,0.23275588,0.21346936,0.5537747
"This latest version of Echo Dot may be a better version than previous ones, but I am thorough disappointed with  Alexa Echo Dot. Many times it does not understand the command, many times it simply says Sorry I don't understand, many times while music is on it is unable to catch the voice hence you have to shout to activate the volume sensors for a different command. Majority of the music is picked up only from Amazon, no generic search for the song, you give a song name and artist name, many times it says that it's unable to find the song.I just had a quick glimpse of ChatGPT. The level of AI used is immaculate...it actually mind boggling.I bought ALEXA recently with a perception that ALEXA may have similar level of inbuilt AI, but let's say, ALEXA is far far away from being closest to AI.In first few minutes, I got to know and I declared it as a complete DUMBO.I repent. May be I was overexpecting. ALEXA may have good features for home automation, etc, however if you really want to use it majorly for your music needs, I would suggest you better drop the idea of going for ALEXA.I wonder how a person like Rajiv Makhni gives a complete Thumbs Up for this product and unlike earlier times, provides biased reviews without naming the device drawbacksHope above details help some friends to make the right decision.",1,1,0.048940532,0.9439124,0.007147128
"The Amazon Echo Dot (5th Gen) is simply amazing! The sound quality is much better than the previous versions — rich, clear, and powerful for its size. The motion detection and temperature sensor are great additions, making it even smarter and more useful. Alexa responds quickly, and the overall performance is excellent. A perfect smart speaker for any room — highly recommended!",2,2,0.2047916,0.12663846,0.6685699
"It plays music only from jiosavn, no other station. There is no prime music station. Advertisement post completion of every song quite irritating despite being the product is good.",2,2,0.20508605,0.2123553,0.58255863
Working Nice and good product,2,2,0.18470123,0.24969675,0.56560194
"Complicated connectivity., alexa app is complicated",2,2,0.27020267,0.26636544,0.46343192
"I am disappointed with Alexa Echo Dot. It does not understand the command, many times it simply says Sorry I don't understand, many times while music is on it is unable to catch the voice hence you have to shout to activate the volume sensors for a different command. Majority of the music is picked up only from Amazon, no generic search for the song, you give a song name and artist name, many times it says that it's unable to find the song. And when I am saying a song name, it is always playing the wrong song when I am connecting with Spotify, getting irritated by listening the wrong songs everytime.",1,1,0.02806112,0.9659099,0.006028959
You are Superb alexa.,2,2,0.36444655,0.26742426,0.36812916
Good,2,2,0.26259705,0.2822415,0.45516145
Very good product,2,2,0.2184034,0.22145213,0.5601445
Amazon Echo Dot (5th Gen) is excellent for personal use and smaller spaces.I Liked It !!,2,2,0.20116612,0.30953726,0.48929656
Good but Sound thoda aur jyada hota to achha tha,2,2,0.19697794,0.23400973,0.56901234
Product is good,2,2,0.22053963,0.25961858,0.51984185
nice but not much use u less u attach house devices in it.. many many things are lacking in it..,2,2,0.10462903,0.4353087,0.46006227
Quite entertaining though Alexa does not respond sometime,2,2,0.21080126,0.3116915,0.47750726
Good,2,2,0.26259705,0.2822415,0.45516145
"Very good sound quality, brought for kids learning, ended up with listening songs, most of the things in the app not working",2,2,0.14421207,0.20971534,0.6460726
"Ask to play songs selected Alexa play different song , dosenot connect Amazon,",1,1,0.08591916,0.7656168,0.1484641
"The product works well, and it is a good buy. This product does what it's designed to do, so consider it. You will not be disappointed by its performance.",2,2,0.15063068,0.2010238,0.64834553
"Good Product, Connectivity is a bit difficult in the beginning, but sound and other attributes are nice design I always like the globe shape, but I still feel the sound could be a but louder, and internal battery can be placed Otherwise the product is good enjoying it.",2,2,0.09285495,0.10952544,0.79761964
"Not recommended. You can have better conversation and command with kids than this...It feels like waste of money. For every other command it says ""I can't do that"". For music it needs apps subscribtion and for kids stories it needs audible subscription.For it's operating you may require several other apps subscribtion.Not sure if google may do better job than this.",1,1,0.0013739341,0.9941041,0.0045219455
Lagging a lot of times. Many a times 5-6 times in a single song of 4 minutes. Sound quality is very good. Works bery faster with commands. The only problem i found was its laggness.,1,1,0.015849363,0.93070674,0.05344391
"This is my second echo device is last 3 years, 4th and 5th generation both tried. They have faulty wifi hard ware in this product both of my devices failed. First one after warranty and repair cost was almost same as new device so bought new one now that is also broken with same issue. It is within warranty, fingers crossed if they service free of cost or again charge as much as new device. Avoid amazon echo dot instead of going through this headache.",1,1,0.0012181877,0.98872584,0.010055946
Best 5th generation but display not good no show in time display,2,2,0.15278378,0.4000508,0.44716543
Amazing quality and features,2,2,0.24782665,0.25010413,0.50206923
